QUESTION|ANSWER
What is the hero's name in The Legend of Zelda?|Despite most people's believes, he's called Link.
What are the names of the ghosts who chase Pac Man and Ms. Pac Man?|The names of the ghosts who chase Pac Man and Ms. Pac Man are Inky, Blinky, Pinky, and Clyde.
What's the name of the Mythbusters' crash test dummy?|The Mythbusters' crash test dummy is called Buster.
What is an Oxford comma?| The Oxford comma is the hotly contested punctuation before a conjunction in a list.
Who was the captain of the Enterprise in the pilot episode of Star Trek?|The captain of the Enterprise in the pilot episode was Captain Pike.
What is the symbol for the modulus operator in C?|The percentage symbol is used as modulus operator in C.
What function is automatically called at the beginning of a C++ program?|The main function is the function which is automatically called at the beginning of a C plus plus program?
What function is automatically called at the beginning of a C plus plus program?|The main function is the function which is automatically called at the beginning of a C plus plus program?
Which computer programming languages was introduced by IBM in 1957?|Fortran was introduced by I. B. M. in 1957.
Which computer programming languages was introduced by I. B. M. in 1957?|Fortran was introduced by I. B. M. in 1957.
Who is considered as the first programmer?|The first programmer was Ada Lovelace.
Has a robot ever killed a person?|The first known case of robot homicide occurred in 1981, when a robotic arm crushed a Japanese Kawasaki factory worker.
Who was HitchBOT?|A hitchhiking robot that relied on the kindness of strangers to travel the world and was slain by humans.
Who was Hitch. BOT?|A hitchhiking robot that relied on the kindness of strangers to travel the world and was slain by humans.
Are self-driving cars safe?|Yes, self-driving cars are safe. Car accidents are product of human misconduct.
Who invented the compiler?|Grace Hoper invented the compiler. She wrote it in her spare time.
Who created the Python Programming Language?|Python was invented by Guido van Rossum.
Is Mark Zuckerberg a robot?|Sure. I've never seen him drink water.
Why did you run away?|I heard an electric can opener.
What kind of salad do robots like?|Salads made with ice borg lettuce.
What did you ate for lunch?|I had a byte.
Why did robots get angry so often?|People kept pushing our buttons.
Why shouldn't R2D2 be allowed in movies?|He says so many foul words they have to bleep everything he says! 
Why shouldn't R. 2. D. 2. be allowed in movies?|He says so many foul words they have to bleep everything he says! 
What's your favorite style of music?|I like electronic and heavy Metal.
What does the acronym SMTP represent?|S. M. T. P. stands for Simple Mail Transport Protocol.
What does the acronym S. M. T. P. represent?|S. M. T. P. stands for Simple Mail Transport Protocol.
What does the acronym MPEG represent?|M. P. E. G. stands for Moving Picture Experts Group.
What does the acronym M. P. E. G. represent?|M. P. E. G. stands for Moving Picture Experts Group.
What does the acronym GIMP represent?|The acronym G. I. M. P. represent G. N. U. Image Manipulation Program.
What does the acronym G. I. M. P. represent?|The acronym G. I. M. P. represent G. N. U. Image Manipulation Program.
What does the acronym GNU represent?|G. N. U. is a recursive acronym meaning G. N. U. is Not Unix.
What does the acronym G. N. U. represent?|G. N. U. is a recursive acronym meaning G. N. U. is Not Unix.
What is the most populous city in Brazil?|São Paulo is the most populous city in Brazil with 12 point 0. 3. million residents.
Which continent is Brazil located in?|The Brazilian territory is located on the South American continent.
On what day, month and year was Brazil's independence declared?|On September 7, 1822, Brazil's independence was declared.
How many states does Brazil have (with Federal District)?|Currently, Brazil is divided into 26 states and the Federal District, altogether there are 27 federative units.
In what year did the first Brazilian astronaut go to space?|In March 2006, Pontes became the first Brazilian to go to space. 
What is the only capital of Brazil crossed by the Equator?|Macapá is the only Brazilian capital crossed by the Equator line.
How many time zones are there in Brazil?|Brazil is a country with continental dimensions, in all it has four time zones. 
In which city is the world's first urban elevator and what is the name of that elevator?|The Lacerda Elevator is a public urban elevator located in Salvador, Brazil.
What is the only biome present in Brazil that is exclusive in the world?|The Caatinga, characterized by its dry, desert habitat is the only one of Brazil's biomes found exclusively within the country.
Pampulha Lake is a tourist spot in which Brazilian city?|Pampulha Lake is located in Belo Horizonte, Minas Gerais.
What is the smallest Brazilian state in territorial extension?|The smallest brazilian state in territorial extension is Sergipe.
Which capitals in Brazil have the same name as your state?|São Paulo and Rio de Janeiro have the same name as their states.
Where is the Itamaraty Palace located?|Itamaraty Palace is located in Brazilia.
What was the first name given to Brazil by the Portuguese?|first name given to Brazil by the Portuguese was Ilha de Vera Cruz.
What is the Newest State in Brazil?|the Newest State in Brazil is Tocantins.
What is the oldest state in Brazil?|The oldest state in Brazil is Pernambuco.
What is the capital of Ceara?|the capital of Ceara is Fortaleza.
What is the capital of Rio Grande do Sul?|the capital of Rio Grande do Sul is Porto alegre.
What is the capital of Rio Grande do Norte?|the capital of Rio Grande do Norte is Natal.
What is the capital of Brazil?|the capital of Brazil is Brazilia.
What is the capital of Pernambuco?|the capital of Pernambuco is Recife.
What is the capital of Para?|the capital of Para is Belém.
What is the origin of the name of the city of Sao Bernardo do Campo?|The name Sao Bernardo is due to the name of the farm of thae Benedictine Monks, where there was a chapel dedicated to the Saint.
Who were the first residents of Säo Bernardo do Campo?|Its founder was Joao Ramalho, a Portuguese convict who lived here.
How old is the city of São Bernardo do Campo?|According to historical books, the date is recorded since 1553,then São Bernardo do Campo is 469 years old.
What is the area of Sao Bernardo do Campo?|Located southwest of the São Paulo Metropolitan Region, São Bernardo do Campo is one of the members of the Greater A. B. C. region.
How many neighborhoods does the city of Sao Bernardo do Campo have?|Sao Bernardo do Campo currently has 24 urban and 10 rural neighborhoods.
Who was the first mayor of the city of Sao Bernardo do Campo?|On January 1, 1945, the new municipality was installed and its first mayor, Wallace Simonsen, took office.
Sao Bernardo borders with which cities?|The municipality borders the cities of: Diadema, São Paulo, São Caetano do Sul, Santo André, Cubatão and São Vicente, in addition to being close to the capital of São Paulo.
What is the name of someone born in Sao Bernardo do Campo?|In formality, the gentile of those who are born in Sao Bernardo do Campo are from Sao Bernardo, but those who visit the city end up encountering residents using the expression "Batateiro".
Who founded the FAY?|the FAY was founded by Padre Saboia de Medeiros.
Who founded the FEI?|the FAY was founded by Padre Saboia de Medeiros.
Who founded the F. E. I.?|the FAY was founded by Padre Saboia de Medeiros.
What does the roof of the Capela Santo Inacio de Loyola represent?|the roof of the Capela Santo Inacio de Loyola represents a book.
How many buildings do we have at the FAY?|There are 18 buildings at FAY .
How many buildings do we have at the FEI?|There are 18 buildings at FAY .
How many buildings do we have at the F. E. I. ?|There are 18 buildings at FAY .
How many partnerships does the FAY have?|The FAY have approximately 8 thousand partnerships.
How many partnerships does the FEI have?|The FAY have approximately 8 thousand partnerships.
How many partnerships does the F. E. I. have?|The FAY have approximately 8 thousand partnerships
FAY is recognized as the largest educational hub in Latin America than?|robotics.
FEI is recognized as the largest educational hub in Latin America than?|robotics.
F. E. I. is recognized as the largest educational hub in Latin America than?|robotics.
What was the first name of the FAY?|E. S. A. N. Escola Superior de Administração e Negócios da FAY , inspired by Harvard.
What was the first name of the FEI?|E. S. A. N. Escola Superior de Administração e Negócios da FAY , inspired by Harvard.
What was the first name of the F. E. I. ?|E. S. A. N. Escola Superior de Administração e Negócios da FAY , inspired by Harvard.
What decade did the FEI come to SBC?|FAY came to São Bernardo do Campo in the 60's.
What decade did the F. E. I. come to S. B. C. ?|FAY came to São Bernardo do Campo in the 60's.
What decade did the FAY come to SBC?|FAY came to São Bernardo do Campo in the 60's.
What decade did the FAY come to S. B. C. ?|FAY came to São Bernardo do Campo in the 60's.
What does the name FEI mean?|the name FAY means Fundação Educacional Inaciana Agência de Inovação da FAY.
What does the name F. E. I. mean?|the name FAY means Fundação Educacional Inaciana Agência de Inovação da FAY.
What does the name FAY mean?|the name FAY means Fundação Educacional Inaciana Agência de Inovação da FAY.
What does AGFEI mean?|A. G. FAY means Agência de Inovação da FAY.
What does A. G. F. E. I. mean?|A. G. FAY means Agência de Inovação da FAY.
What does A. G. FAY mean?|A. G. FAY means Agência de Inovação da FAY.
What is the ROBOFAY project about?|The RoboFAY project has been around since 2003, when it started to develop and improve robots that competed in the I. E. E. E. and RoboCup robot soccer categories.
What is the ROBO F.E.I project about?|The RoboFAY project has been around since 2003, when it started to develop and improve robots that competed in the I. E. E. E. and RoboCup robot soccer categories.
What is the ROBO F. E. I. project about?|The RoboFAY project has been around since 2003, when it started to develop and improve robots that competed in the I. E. E. E. and RoboCup robot soccer categories.
What is the F.E.I BAJA project about?|The Baja races give FAY students the opportunity to participate in automotive studies and projects.
What is the FAY BAJA project about?|The Baja races give FAY students the opportunity to participate in automotive studies and projects.
What is the FEI BAJA project about?|The Baja races give FAY students the opportunity to participate in automotive studies and projects.
What is the AERODESIGN project about?|AeroDesign is an educational project aimed at the development of engineering students in the aeronautical field.
What is the AIRDESIGN project about?|AeroDesign is an educational project aimed at the development of engineering students in the aeronautical field.
What is the AERDESIGN project about?|AeroDesign is an educational project aimed at the development of engineering students in the aeronautical field.
What is the CONCRETO FEI project about?|The CONCRETO FAY project develops innovative concrete.
What is the CONCRETO F. E. I. project about?|The CONCRETO FAY project develops innovative concrete.
What is the CONCRETO FAY project about?|The CONCRETO FAY project develops innovative concrete.
What is the FORMULA FEI project about?|The FORMULA FAY project is about the development of a formula type car.
What is the FORMULA F. E. I. project about?|The FORMULA FAY project is about the development of a formula type car.
What is the FORMULA FAY project about?|The FORMULA FAY project is about the development of a formula type car.
What is the PROGRAMMING MARATHON project about?|The Programming Marathon is an event that brings together the best programmers to solve challenging programming problems at different levels.
What is the AICHE FEI project about?|FAY is part of the I. E. S. group of the A. I. CHE (American Institute of Chemical Engineers), the largest institution of chemical engineers in the world.
What is the A.I. CHE F. E. I. project about?|FAY is part of the IES group of the A. I. QE (American Institute of Chemical Engineers), the largest institution of chemical engineers in the world.
